frame_idx,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.26469094,-0.2350028,0.5909812,-0.27671137,0.3803616,-0.63243985,0.18814906,-0.037459195,0.16347586,0.21052755,-0.39571878,-0.40152055,-0.19367363,0.4051462,-0.14841895,0.51793504,-0.07777248,-0.098797746,-0.426419,0.38780662,0.13830395,-0.60969657,0.2110197,0.14636658,0.40083686,-0.44144514,0.5226746,0.6978068,0.21742786,-0.29957932,0.39443314,-0.28479937
1,0.26469094,-0.2350028,0.5909812,-0.27671137,0.3803616,-0.63243985,0.18814906,-0.037459195,0.16347586,0.21052755,-0.39571878,-0.40152055,-0.19367363,0.4051462,-0.14841895,0.51793504,-0.07777248,-0.098797746,-0.426419,0.38780662,0.13830395,-0.60969657,0.2110197,0.14636658,0.40083686,-0.44144514,0.5226746,0.6978068,0.21742786,-0.29957932,0.39443314,-0.28479937
2,0.26469094,-0.2350028,0.5909812,-0.27671137,0.3803616,-0.63243985,0.18814906,-0.037459195,0.16347586,0.21052755,-0.39571878,-0.40152055,-0.19367363,0.4051462,-0.14841895,0.51793504,-0.07777248,-0.098797746,-0.426419,0.38780662,0.13830395,-0.60969657,0.2110197,0.14636658,0.40083686,-0.44144514,0.5226746,0.6978068,0.21742786,-0.29957932,0.39443314,-0.28479937
3,0.26469094,-0.2350028,0.5909812,-0.27671137,0.3803616,-0.63243985,0.18814906,-0.037459195,0.16347586,0.21052755,-0.39571878,-0.40152055,-0.19367363,0.4051462,-0.14841895,0.51793504,-0.07777248,-0.098797746,-0.426419,0.38780662,0.13830395,-0.60969657,0.2110197,0.14636658,0.40083686,-0.44144514,0.5226746,0.6978068,0.21742786,-0.29957932,0.39443314,-0.28479937
4,0.20540982,-0.08961504,0.5298502,-0.6551677,0.32589322,-0.43680713,0.3603036,0.30652595,0.4964027,0.09967342,-0.46699935,-0.5439506,-0.11808641,0.35942134,-0.46417907,0.5133485,-0.2523409,-0.15364766,-0.2675421,0.066361435,0.017661307,-0.6300323,0.29059547,0.29962876,0.06921292,-0.3302751,0.16022907,0.5240886,0.35373726,0.106239155,0.51783335,0.10972362
5,-0.43557337,-0.538419,0.2661183,-0.07613385,0.31240454,0.060255896,-0.47447908,-0.22893816,-0.60242945,0.1056254,-0.21874376,0.34708735,-0.3448835,0.63605255,0.1747138,0.50297403,0.48808393,-0.41969347,0.11924186,0.40015125,0.578455,0.08980257,0.20369081,-0.16657728,-0.077135354,-0.68191236,0.07353719,0.60021895,-0.2772374,-0.20339185,-0.19720937,-0.33151674
6,-0.43557337,-0.538419,0.2661183,-0.07613385,0.31240454,0.060255896,-0.47447908,-0.22893816,-0.60242945,0.1056254,-0.21874376,0.34708735,-0.3448835,0.63605255,0.1747138,0.50297403,0.48808393,-0.41969347,0.11924186,0.40015125,0.578455,0.08980257,0.20369081,-0.16657728,-0.077135354,-0.68191236,0.07353719,0.60021895,-0.2772374,-0.20339185,-0.19720937,-0.33151674
7,-0.43557337,-0.538419,0.2661183,-0.07613385,0.31240454,0.060255896,-0.47447908,-0.22893816,-0.60242945,0.1056254,-0.21874376,0.34708735,-0.3448835,0.63605255,0.1747138,0.50297403,0.48808393,-0.41969347,0.11924186,0.40015125,0.578455,0.08980257,0.20369081,-0.16657728,-0.077135354,-0.68191236,0.07353719,0.60021895,-0.2772374,-0.20339185,-0.19720937,-0.33151674
8,-0.43557337,-0.538419,0.2661183,-0.07613385,0.31240454,0.060255896,-0.47447908,-0.22893816,-0.60242945,0.1056254,-0.21874376,0.34708735,-0.3448835,0.63605255,0.1747138,0.50297403,0.48808393,-0.41969347,0.11924186,0.40015125,0.578455,0.08980257,0.20369081,-0.16657728,-0.077135354,-0.68191236,0.07353719,0.60021895,-0.2772374,-0.20339185,-0.19720937,-0.33151674
9,-0.43557337,-0.538419,0.2661183,-0.07613385,0.31240454,0.060255896,-0.47447908,-0.22893816,-0.60242945,0.1056254,-0.21874376,0.34708735,-0.3448835,0.63605255,0.1747138,0.50297403,0.48808393,-0.41969347,0.11924186,0.40015125,0.578455,0.08980257,0.20369081,-0.16657728,-0.077135354,-0.68191236,0.07353719,0.60021895,-0.2772374,-0.20339185,-0.19720937,-0.33151674
10,-0.43557337,-0.538419,0.2661183,-0.07613385,0.31240454,0.060255896,-0.47447908,-0.22893816,-0.60242945,0.1056254,-0.21874376,0.34708735,-0.3448835,0.63605255,0.1747138,0.50297403,0.48808393,-0.41969347,0.11924186,0.40015125,0.578455,0.08980257,0.20369081,-0.16657728,-0.077135354,-0.68191236,0.07353719,0.60021895,-0.2772374,-0.20339185,-0.19720937,-0.33151674
11,0.37167332,0.0056440914,0.6107166,-0.57485217,0.33412898,-0.50052506,0.2653327,0.14024782,0.493081,0.1458086,-0.47752666,-0.55949956,-0.16098581,0.33582026,-0.3566834,0.5012718,-0.20768061,-0.17497574,-0.42364436,0.13424157,-0.033445,-0.64520097,0.18473773,0.14846385,0.02835698,-0.34947956,0.12679563,0.46234226,0.47474644,-0.030670535,0.5365242,0.109556176
