Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
0,0.0,1.162180062,298.0,-3464.689725897,-3463.527545835
1,0.5,1.194276534,306.230005717,-3464.721367698,-3463.528924604
2,1.0,1.250264343,320.586100395,-3464.785379588,-3463.531410532
3,1.5,1.309880525,335.872563249,-3464.843845853,-3463.532182411
4,2.0,1.348079622,345.667371427,-3464.88260822,-3463.530908228
5,2.5,1.376137804,352.861900489,-3464.918528707,-3463.529203667
6,3.0,1.430277896,366.744213445,-3464.975339863,-3463.529284573
7,3.5,1.500127658,384.654716092,-3465.052749788,-3463.530582307
8,4.0,1.58369543,406.082717579,-3465.133341203,-3463.531271649
9,4.5,1.660972428,425.897672379,-3465.206977066,-3463.531639659
10,5.0,1.729777341,443.540260437,-3465.272397712,-3463.532218347
11,5.5,1.769553314,453.739402901,-3465.323850878,-3463.534953595
12,6.0,1.770392899,453.954684883,-3465.335060561,-3463.534521898
13,6.5,1.798927179,461.271292245,-3465.360841584,-3463.523966341
14,7.0,1.906065152,488.743038767,-3465.495103445,-3463.540969683
15,7.5,1.926658226,494.023404704,-3465.534449527,-3463.543615754
16,8.0,1.872813507,480.216829762,-3465.457432504,-3463.52266065
17,8.5,1.913331547,490.606248917,-3465.520636965,-3463.533452855
18,9.0,2.022006047,518.471983455,-3465.648672363,-3463.537413246
19,9.5,2.091163457,536.204956744,-3465.731058519,-3463.539300468
20,10.0,2.082248759,533.919097553,-3465.732040385,-3463.53914814
21,10.5,1.986906685,509.47199268,-3465.657636744,-3463.539557576
22,11.0,1.899021377,486.936911523,-3465.5547034,-3463.521798836
23,11.5,1.940571442,497.590957322,-3465.633880422,-3463.544138809
24,12.0,1.974163963,506.20457196,-3465.675167066,-3463.542420045
25,12.5,1.921915178,492.807217722,-3465.615389107,-3463.536890155
26,13.0,1.830826622,469.45077707,-3465.525320916,-3463.533509463
27,13.5,1.75363667,449.658142046,-3465.45591381,-3463.531385257
28,14.0,1.730714251,443.78049803,-3465.438383876,-3463.531147095
29,14.5,1.750117614,448.755804519,-3465.476059103,-3463.532889822
30,15.0,1.80540571,462.932482687,-3465.544556849,-3463.534760438
31,15.5,1.86833374,479.068151785,-3465.614600367,-3463.535658223
32,16.0,1.914071795,490.796059318,-3465.670366254,-3463.535675803
33,16.5,1.942426115,498.066522632,-3465.710169363,-3463.535279308
34,17.0,1.956333456,501.632568608,-3465.740040688,-3463.535187902
35,17.5,1.972022765,505.65553747,-3465.762689948,-3463.536424332
36,18.0,1.956433511,501.658224113,-3465.763344676,-3463.539832455
37,18.5,1.899353809,487.022152008,-3465.712296486,-3463.537607584
38,19.0,1.864314195,478.037481442,-3465.68524485,-3463.53167831
39,19.5,1.895545386,486.045616703,-3465.740497855,-3463.541466417
40,20.0,1.922674735,493.001979255,-3465.761787832,-3463.535127485
41,20.5,1.959185065,502.363763008,-3465.806611303,-3463.535308546
42,21.0,2.005706982,514.292664286,-3465.871617963,-3463.542755923
43,21.5,2.004860041,514.075496254,-3465.869746154,-3463.538786351
44,22.0,2.01455909,516.562474589,-3465.879116679,-3463.53423494
45,22.5,2.049507355,525.523721904,-3465.932075318,-3463.545019836
46,23.0,1.998639152,512.480369101,-3465.886064278,-3463.538014774
47,23.5,1.929149255,494.662141052,-3465.816736783,-3463.531398001
48,24.0,1.904582675,488.362910062,-3465.801880909,-3463.536608728
49,24.5,1.872944171,480.25033398,-3465.783112558,-3463.538798987
50,25.0,1.816065795,465.665884569,-3465.72340249,-3463.535534426
51,25.5,1.744494935,447.314067333,-3465.661513764,-3463.532602368
52,26.0,1.710180386,438.515314106,-3465.635373336,-3463.533721798
53,26.5,1.699025388,435.655008993,-3465.635289473,-3463.534407644
54,27.0,1.704956088,437.175727585,-3465.646880308,-3463.534737478
55,27.5,1.712674884,439.154939965,-3465.662623568,-3463.535107959
