Time_fs,n_hbonds,betti_0,betti_1,betti_2,euler_characteristic,PC1,PC2,LBHB_Fraction,Avg_Wire_Length,Hodge_Gradient_Pct,Hodge_Curl_Pct,Hodge_Harmonic_Pct
0.0,139,1,50,0,-49,-0.36734745,-0.43766636,0.0,0.0,99.99999858217927,0.0,0.0047499029045774
0.5,139,1,50,0,-49,-0.36734745,-0.43766636,0.0,0.0,99.99999857551786,0.0,0.0047619067225289
1.0,139,1,50,0,-49,-0.36734745,-0.43766636,0.0,0.0,99.99999855392396,0.0,0.0047819553245934
1.5,139,1,50,0,-49,-0.36734745,-0.43766636,0.0,0.0,99.9999985042564,0.0,0.0049378038692094
2.0,138,1,50,0,-49,-0.19977728,-0.6055312,0.000805152979066,0.0,99.99999850112096,0.0,0.0049445664706785
2.5,137,1,50,0,-49,-0.4889196,0.63654065,0.0019788918205804,0.0,99.99999850137716,0.0,0.0049447483025713
3.0,137,1,50,0,-49,-0.4889196,0.63654065,0.0027995520716685,0.0,99.99999881955168,0.0,0.0037288264858087
3.5,137,1,50,0,-49,-0.4889196,0.63654065,0.0033980582524271,0.0,99.99999852332977,0.0,0.004303391312008
4.0,137,1,50,0,-49,-0.4889196,0.63654065,0.0038527397260273,0.0,99.99999852092138,0.0,0.0043091360535152
4.5,137,1,50,0,-49,-0.4889196,0.63654065,0.0042081101759755,0.0,99.9999988773128,0.0,0.0033424395744763
5.0,137,1,50,0,-49,-0.4889196,0.63654065,0.0044920525224602,0.0,99.99999887785476,0.0,0.0033437107872789
5.5,135,1,48,0,-47,-0.17707923,-0.7750461,0.0047258979206049,0.0,99.999998878431,0.0,0.0033445649053488
6.0,135,1,48,0,-47,-0.17707923,-0.7750461,0.0049332559489262,0.0,99.99999752087322,0.0,0.0046186232904028
6.5,136,1,48,0,-47,-0.18357682,-0.84822154,0.0051116491794457,0.0,99.99999859012034,0.0,0.0031341171470445
7.0,138,1,49,0,-48,-0.5203482,-0.68462324,0.0052710843373493,0.0,99.99999822141352,0.0,0.0042341211772839
7.5,138,1,49,0,-48,-0.5203482,-0.68462324,0.0054143126177024,0.0,99.99999902233507,0.0,0.0036309562530923
8.0,138,1,49,0,-48,-0.5203482,-0.68462324,0.0055358724534986,0.0,99.99999781521836,0.0,0.0046526926879153
8.5,138,1,49,0,-48,-0.5203482,-0.68462324,0.0056426332288401,0.0,99.9999979738945,0.0,0.0045604413433945
9.0,140,1,50,0,-49,-0.5332246,1.2304522,0.005733491498616,0.0,99.99999883222026,0.0,0.0029165993189011
9.5,140,1,50,0,-49,-0.5332246,1.2304522,0.0054388597149287,0.0,99.99999889663258,0.0,0.0028077484277961
10.0,140,1,50,0,-49,-0.5332246,1.2304522,0.0051730288976097,0.0,99.99999891129944,0.0,0.0027856638275956
10.5,140,1,50,0,-49,-0.5332246,1.2304522,0.004930295817749,0.0,99.99999836071012,0.0,0.0040168850588689
11.0,140,1,50,0,-49,-0.5332246,1.2304522,0.004708556583861,0.0,99.99999849120064,0.0,0.0035814743663227
11.5,137,1,48,0,-47,0.25357616,0.21740925,0.004507304942493,0.0,99.99999806219138,0.0,0.0046479565432331
12.0,135,1,47,0,-46,0.58578837,0.13109824,0.0043251304996271,0.0,99.99999816780672,0.0,0.003889072139879
12.5,136,1,48,0,-47,0.14342147,0.18830357,0.0041553231121937,0.0,99.99999875857353,0.0,0.0029873330363502
13.0,135,1,47,0,-46,-0.34975138,-0.351688,0.0040016558575962,0.0,99.99999837087675,0.0,0.0032566517984699
13.5,134,1,46,0,-45,-0.07911816,-0.65681475,0.003859976041528,0.0,99.9999974311536,0.0,0.0050697734309173
14.0,133,1,46,0,-45,-0.036589876,-0.896441,0.0037265484451297,0.0,99.9999982494312,0.0,0.003403969979553
14.5,132,1,45,0,-44,-0.17249161,0.24371098,0.0036006953066799,0.0,99.99999756238712,0.0,0.0046690461049842
15.0,132,1,45,0,-44,-0.17249161,0.24371098,0.0036036036036036,0.0,99.99999740228236,0.0,0.0056122971224394
15.5,134,1,46,0,-45,-0.16937491,0.5875594,0.0037235280428205,0.0,99.99999846027048,0.0,0.0036391886672012
16.0,134,1,46,0,-45,-0.16937491,0.5875594,0.0038370387089493,0.0,99.99999772285364,0.0,0.004779753527499
16.5,134,1,46,0,-45,-0.16937491,0.5875594,0.0039434768320736,0.0,99.99999772418136,0.0,0.0047812086714166
17.0,135,1,47,0,-46,1.1584209,0.5050604,0.0040447046301224,0.0,99.99999788516152,0.0,0.0054583153693886
17.5,137,1,49,0,-48,0.42501056,0.524144,0.0041412154467336,0.0,99.99999859761483,0.0,0.0034283672041134
18.0,136,1,48,0,-47,1.1662309,0.47922516,0.0042330175367869,0.0,99.9999987954259,0.0,0.0031529062544296
18.5,137,1,48,0,-47,1.2081304,0.4549342,0.0043205027494108,0.0,99.99999879499674,0.0,0.0031546090075358
19.0,137,1,48,0,-47,1.2081304,0.4549342,0.0044035994639096,0.0,99.99999879456772,0.0,0.0031569479065227
19.5,137,1,48,0,-47,1.2081304,0.4549342,0.0044851429639319,0.0,99.99999772680576,0.0,0.0058440410259106
20.0,137,1,48,0,-47,1.2081304,0.4549342,0.0045624600784743,0.0,99.99999864437024,0.0,0.0031066808920784
20.5,137,1,48,0,-47,1.2081304,0.4549342,0.0046337551238638,0.0,99.99999678916282,0.0,0.0062389846445739
21.0,139,1,48,0,-47,-0.121495634,0.48628584,0.0047013755876719,0.0,99.99999678741212,0.0,0.0062393277553134
