Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
0,0.0,1.163595629,298.0,-3450.089844869,-3448.92624924
1,0.5,1.18780579,304.200288,-3450.121699884,-3448.927625254
2,1.0,1.250546834,320.268439808,-3450.18625939,-3448.930963307
3,1.5,1.312110827,336.03514563,-3450.243657593,-3448.931726143
4,2.0,1.349424108,345.59117804,-3450.280392541,-3448.930423417
5,2.5,1.386052164,354.971722793,-3450.31351957,-3448.928657426
6,3.0,1.438850146,368.493429235,-3450.366901813,-3448.928693389
7,3.5,1.509523011,386.592941833,-3450.440743039,-3448.929922235
8,4.0,1.580032323,404.650568104,-3450.518322356,-3448.930588298
9,4.5,1.641391644,420.364856939,-3450.589374099,-3448.930829892
10,5.0,1.700295401,435.450268943,-3450.652805803,-3448.931616616
11,5.5,1.739070885,445.38077569,-3450.700786836,-3448.934764499
12,6.0,1.746673822,447.327908351,-3450.706158622,-3448.932776208
13,6.5,1.785121524,457.174469231,-3450.743560892,-3448.924864499
14,7.0,1.902841068,487.322764325,-3450.877682733,-3448.940659193
15,7.5,1.923226438,492.543512938,-3450.906115015,-3448.942975476
16,8.0,1.849006019,473.535461987,-3450.81654768,-3448.92568441
17,8.5,1.893280979,484.87439935,-3450.87665852,-3448.935295746
18,9.0,2.025527104,518.742991255,-3451.024133364,-3448.942119866
19,9.5,2.080811186,532.901394642,-3451.105796219,-3448.942736925
20,10.0,2.064516065,528.728170049,-3451.099120606,-3448.941954121
21,10.5,1.971426981,504.887802698,-3451.020276325,-3448.942474063
22,11.0,1.883044772,482.252878926,-3450.922417086,-3448.923399599
23,11.5,1.935326222,495.642300381,-3451.009390943,-3448.94759749
24,12.0,1.954250049,500.488743708,-3451.035955904,-3448.944032448
25,12.5,1.884788341,482.699411779,-3450.96811226,-3448.93856178
26,13.0,1.792854006,459.154778924,-3450.878668076,-3448.935455205
27,13.5,1.716655393,439.640107397,-3450.815048371,-3448.933616461
28,14.0,1.694168908,433.881257385,-3450.803449725,-3448.933536065
29,14.5,1.728109687,442.573583115,-3450.843594358,-3448.935090095
30,15.0,1.783865518,456.852802815,-3450.911013183,-3448.936784597
31,15.5,1.852650861,474.468915799,-3450.978187887,-3448.937581842
32,16.0,1.900523701,486.729280272,-3451.030344722,-3448.93755955
33,16.5,1.925283663,493.070373777,-3451.066453481,-3448.937118045
34,17.0,1.941916331,497.330045266,-3451.092701963,-3448.936916854
35,17.5,1.946184212,498.423061119,-3451.113203003,-3448.938012169
36,18.0,1.928407778,493.870468148,-3451.117701955,-3448.942285632
37,18.5,1.878773547,481.159006598,-3451.070118827,-3448.943486011
38,19.0,1.815643718,464.991286077,-3451.003737428,-3448.931968416
39,19.5,1.83857447,470.86391389,-3451.04362929,-3448.942932647
40,20.0,1.894318015,485.139987081,-3451.087483003,-3448.937866945
41,20.5,1.952708267,500.093889166,-3451.159749331,-3448.939026422
42,21.0,2.028942588,519.617705797,-3451.242068723,-3448.946420227
43,21.5,2.030430778,519.998835447,-3451.242613945,-3448.943578669
44,22.0,2.033342593,520.744559102,-3451.234453165,-3448.935785308
45,22.5,2.052447521,525.637383045,-3451.281740744,-3448.947109406
46,23.0,2.014728092,515.977334724,-3451.24442667,-3448.937954131
47,23.5,1.976123694,506.090643641,-3451.207645857,-3448.937049064
48,24.0,1.941750058,497.28746222,-3451.185941008,-3448.940844276
49,24.5,1.88229435,482.060693883,-3451.128667932,-3448.939516579
50,25.0,1.800749115,461.17673795,-3451.04994887,-3448.935700264
51,25.5,1.748642299,447.832040679,-3450.999622042,-3448.93523689
52,26.0,1.72867657,442.71876346,-3450.986360776,-3448.93703973
53,26.5,1.722937053,441.248857592,-3450.987441179,-3448.93723707
54,27.0,1.7290859,442.823593918,-3450.994619692,-3448.937410817
55,27.5,1.731199563,443.364908783,-3451.003507395,-3448.937582223
56,28.0,1.73154574,443.453565558,-3451.010664807,-3448.937481738
57,28.5,1.729717856,442.985439619,-3451.017165433,-3448.937243967
58,29.0,1.735030069,444.345911759,-3451.024882765,-3448.937667016
59,29.5,1.72696733,442.281022329,-3451.031418553,-3448.93847947
60,30.0,1.721273885,440.822915537,-3451.033536027,-3448.937834468
61,30.5,1.730831924,443.270755494,-3451.047412125,-3448.935414849
62,31.0,1.778825044,455.561923717,-3451.106027564,-3448.937212284
63,31.5,1.85852155,475.972415202,-3451.188147806,-3448.941159716
64,32.0,1.916091062,490.716123768,-3451.241373863,-3448.940452009
